asset_id,asset_type,failure_date,failure_type,age_at_failure,maintenance_count,total_cost,weather_condition,usage_intensity,failure_occurred
1,Road,2023-01-15,Pothole,5,3,45000,Rainy,High,1
2,Bridge,2023-02-20,Crack,8,5,280000,Normal,Medium,1
3,Water Pipeline,2023-03-10,Leak,6,4,120000,Hot,High,1
4,Street Light,2023-04-05,Bulb Failure,3,2,8000,Normal,Low,1
5,Sewage,2023-05-12,Blockage,7,6,95000,Rainy,High,1
6,Road,2023-06-18,Surface Damage,4,2,38000,Hot,High,1
7,Bridge,2023-07-22,Structural Issue,10,7,350000,Rainy,Medium,1
8,Water Pipeline,2023-08-14,Burst,5,3,150000,Normal,High,1
9,Street Light,2023-09-09,Wiring Issue,4,3,12000,Rainy,Low,1
10,Sewage,2023-10-25,Overflow,6,5,85000,Rainy,High,1
11,Road,2023-11-30,Crack,7,4,52000,Normal,Medium,1
12,Bridge,2023-12-15,Paint Damage,6,4,45000,Hot,Low,1
13,Water Pipeline,2024-01-08,Corrosion,8,6,180000,Normal,Medium,1
14,Street Light,2024-02-14,Pole Damage,5,4,15000,Rainy,Medium,1
15,Sewage,2024-03-20,Blockage,5,4,78000,Hot,High,1
16,Road,2024-04-12,Pothole,3,1,28000,Rainy,High,1
17,Bridge,2024-05-18,Expansion Joint,9,6,290000,Normal,Medium,1
18,Water Pipeline,2024-06-22,Leak,4,2,95000,Hot,High,1
19,Street Light,2024-07-30,Bulb Failure,2,1,6000,Normal,Low,1
20,Sewage,2024-08-15,Pipe Damage,8,7,110000,Rainy,High,1
21,Road,2022-01-10,None,2,1,0,Normal,Low,0
22,Bridge,2022-02-15,None,3,2,0,Normal,Low,0
23,Water Pipeline,2022-03-20,None,2,1,0,Normal,Medium,0
24,Street Light,2022-04-25,None,1,1,0,Normal,Low,0
25,Sewage,2022-05-30,None,3,2,0,Normal,Medium,0
26,Road,2022-06-12,None,3,2,0,Hot,Medium,0
27,Bridge,2022-07-18,None,4,3,0,Normal,Low,0
28,Water Pipeline,2022-08-22,None,3,2,0,Hot,Medium,0
29,Street Light,2022-09-28,None,2,1,0,Normal,Low,0
30,Sewage,2022-10-15,None,4,3,0,Rainy,Medium,0
31,Road,2022-11-20,None,4,3,0,Normal,Medium,0
32,Bridge,2022-12-25,None,5,4,0,Normal,Low,0
33,Water Pipeline,2023-01-30,None,4,3,0,Normal,Medium,0
34,Street Light,2023-02-10,None,3,2,0,Normal,Low,0
35,Sewage,2023-03-15,None,5,4,0,Hot,Medium,0
36,Road,2023-04-20,None,5,4,0,Normal,Medium,0
37,Bridge,2023-05-25,None,6,5,0,Normal,Low,0
38,Water Pipeline,2023-06-30,None,5,4,0,Hot,Medium,0
39,Street Light,2023-07-12,None,4,3,0,Normal,Low,0
40,Sewage,2023-08-18,None,6,5,0,Rainy,Medium,0
